Plant_Code,Latitude,Longitude,Geo_MW,Solar_MW,Wind_MW,Powerplant_MW
59942,27.9386,-97.4586,-99999,-99999,180,180
59932,46.06,-118.917,-99999,-99999,176.9,176.9
59931,40.999169,-88.056247,-99999,-99999,175,175
59930,41.4236,-94.665,-99999,-99999,174.8,174.8
59929,40.9881,-102.8969,-99999,-99999,174.3,174.3
59928,32.2878,-100.1,-99999,-99999,170.2,170.2
59916,32.1981,-100.2686,-99999,-99999,169.5,169.5
59901,35.008611,-118.242222,-99999,-99999,168,168
59911,35.043411,-118.211835,-99999,-99999,168,168
59900,37.81828,-99.7754,-99999,-99999,167.9,167.9
59899,37.873889,-100.280277,-99999,-99999,165.6,165.6
59898,26.195278,-97.466111,-99999,-99999,165,165
59891,32.7683,-99.4228,-99999,-99999,162.3,162.3
59872,38.1381,-121.8053,-99999,-99999,162,162
59873,37.7033,-102.6231,-99999,-99999,162,162
59874,43.886389,-98.7875,-99999,-99999,162,162
59887,35.347778,-118.186389,-99999,-99999,162,162
59862,35.291944,-102.303056,-99999,-99999,161,161
59866,35.2375,-102.203056,-99999,-99999,161,161
59867,35.276944,-102.682778,-99999,-99999,161,161
59860,30.9178,-102.0867,-99999,-99999,160.5,160.5
59857,32.94793,-101.147784,-99999,-99999,160,160
59858,43.393,-93.091,-99999,-99999,160,160
59856,48.63,-98.315,-99999,-99999,159,159
59855,46.4211,-117.8331,-99999,-99999,156.6,156.6
59849,41.4517,-95.2383,-99999,-99999,153,153
59848,31.995,-102.828333,-99999,-99999,152.5,152.5
59847,36.276111,-99.490833,-99999,-99999,151.8,151.8
59845,45.9215,-120.2355,-99999,-99999,151.2,151.2
59844,34.8661,-98.6056,-99999,-99999,151,151
59841,40.694444,-87.570833,-99999,-99999,150.4,150.4
59842,40.46405,-88.021517,-99999,-99999,150.4,150.4
59843,36.706944,-96.700278,-99999,-99999,150.4,150.4
59839,42.159444,-92.776111,-99999,-99999,150.2,150.2
59838,40.92,-94.671667,-99999,-99999,150.1,150.1
59786,32.4301,-100.235652,-99999,-99999,150,150
59787,37.5797,-96.5503,-99999,-99999,150,150
59788,38.12,-121.85,-99999,-99999,150,150
59789,44.2667,-96.3444,-99999,-99999,150,150
59790,41.090583,-89.639811,-99999,-99999,150,150
59794,33.752201,-100.967402,-99999,-99999,150,150
59797,30.807272,-102.355628,-99999,-99999,150,150
59798,42.1622,-94.93,-99999,-99999,150,150
59800,38.1711,-121.8461,-99999,-99999,150,150
59801,43.2125,-93.8311,-99999,-99999,150,150
59802,42.1044,-93.2722,-99999,-99999,150,150
59803,31.085435,-100.67882,-99999,-99999,150,150
59804,39.981389,-94.518056,-99999,-99999,150,150
59805,39.104167,-114.492222,-99999,-99999,150,150
59807,27.576111,-98.905278,-99999,-99999,150,150
59808,35.033725,-118.353422,-99999,-99999,150,150
59809,35.023889,-118.295278,-99999,-99999,150,150
59810,35.023889,-118.295278,-99999,-99999,150,150
59811,32.4375,-100.7444,-99999,-99999,150,150
59815,40.590833,-89.046666,-99999,-99999,150,150
59816,42.224436,-93.373625,-99999,-99999,150,150
