description,name,Plant_Code,sector_nam,PrimSource,Total_MW,Coal_MW,NG_MW,Crude_MW,Bio_MW,Hydro_MW,HydroPS_MW,Nuclear_MW,Solar_MW,Wind_MW,Geo_MW,Other_MW,source_des,tech_desc,Source,Period,geometry
,solar,58452,IPP Non-CHP,solar,1.5,0,0,0,,0,0,0,1.5,0,,,Solar = 1.5 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-118.274167,34.708889,0.0</coordinates></Point>"
,solar,58445,IPP Non-CHP,solar,2,0,0,0,,0,0,0,2,0,,,Solar = 2 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-118.051111,34.655,0.0</coordinates></Point>"
,wind,56840,IPP Non-CHP,wind,2.1,0,0,0,,0,0,0,0,2.1,,,Wind = 2.1 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-95.8142,44.3253,0.0</coordinates></Point>"
,wind,58444,IPP Non-CHP,wind,8,0,0,0,,0,0,0,0,8,,,Wind = 8 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-94.269167,42.098889,0.0</coordinates></Point>"
,wind,56841,Electric Utility,wind,138,0,0,0,,0,0,0,0,138,,,Wind = 138 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-105.835278,43.0181,0.0</coordinates></Point>"
,solar,58443,IPP Non-CHP,solar,1,0,0,0,,0,0,0,1,0,,,Solar = 1 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-76.061667,40.107778,0.0</coordinates></Point>"
,wind,56842,Electric Utility,wind,99,0,0,0,,0,0,0,0,99,,,Wind = 99 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-105.8543,43.0572,0.0</coordinates></Point>"
,wind,56858,IPP Non-CHP,wind,100.7,0,0,0,,0,0,0,0,100.7,,,Wind = 100.7 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-120.6872,47.1356,0.0</coordinates></Point>"
,wind,58458,Electric Utility,wind,1.6,0,0,0,,0,0,0,0,1.6,,,Wind = 1.6 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-94.485,41.29,0.0</coordinates></Point>"
,wind,56859,IPP Non-CHP,wind,21,0,0,0,,0,0,0,0,21,,,Wind = 21 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-94.9228,43.0475,0.0</coordinates></Point>"
