Plant_Code,Latitude,Longitude,Geo_MW,Solar_MW,Wind_MW,Powerplant_MW
210,36.909137,-119.087712,-99999,-99999,-99999,-99999
214,36.908907,-119.087556,-99999,-99999,-99999,-99999
215,40.007445,-121.249438,-99999,-99999,-99999,-99999
217,39.91062,-121.327692,-99999,-99999,-99999,-99999
218,40.175656,-121.190663,-99999,-99999,-99999,-99999
219,40.085476,-121.148241,-99999,-99999,-99999,-99999
220,40.085997,-121.149373,-99999,-99999,-99999,-99999
221,39.788877,-121.657383,-99999,-99999,-99999,-99999
222,38.771764,-120.813239,-99999,-99999,-99999,-99999
223,40.404645,-122.121904,-99999,-99999,-99999,-99999
224,40.570817,-122.02093,-99999,-99999,-99999,-99999
225,39.825907,-121.409687,-99999,-99999,-99999,-99999
227,39.869265,-121.631819,-99999,-99999,-99999,-99999
229,39.29807,-120.8443,-99999,-99999,-99999,-99999
231,39.256873,-120.767437,-99999,-99999,-99999,-99999
232,39.257388,-120.767046,-99999,-99999,-99999,-99999
233,39.216985,-120.835587,-99999,-99999,-99999,-99999
235,38.793574,-120.619152,-99999,-99999,-99999,-99999
236,38.330985,-120.669901,-99999,-99999,-99999,-99999
237,36.927424,-119.02025,-99999,-99999,-99999,-99999
238,38.956985,-121.041932,-99999,-99999,-99999,-99999
239,40.268712,-121.089479,-99999,-99999,-99999,-99999
240,40.929297,-121.544462,-99999,-99999,-99999,-99999
241,40.960675,-121.548657,-99999,-99999,-99999,-99999
242,40.7415,-124.2103,-99999,-99999,-99999,-99999
243,40.400988,-121.965502,-99999,-99999,-99999,-99999
244,40.992295,-121.975182,-99999,-99999,-99999,-99999
246,37.092486,-119.552826,-99999,-99999,-99999,-99999
248,40.677827,-121.873253,-99999,-99999,-99999,-99999
249,36.888166,-119.158777,-99999,-99999,-99999,-99999
250,39.698755,-121.57096,-99999,-99999,-99999,-99999
253,37.52301,-120.329905,-99999,-99999,-99999,-99999
254,36.804837,-121.782241,-99999,-99999,-99999,-99999
255,38.147093,-120.446396,-99999,-99999,-99999,-99999
258,39.2364,-121.271741,-99999,-99999,-99999,-99999
260,38.032103,-120.326537,-99999,-99999,-99999,-99999
261,40.99084,-121.498243,-99999,-99999,-99999,-99999
262,40.997448,-121.748139,-99999,-99999,-99999,-99999
264,40.986361,-121.84944,-99999,-99999,-99999,-99999
265,40.986197,-121.977594,-99999,-99999,-99999,-99999
266,40.922568,-121.992906,-99999,-99999,-99999,-99999
267,40.847462,-121.990798,-99999,-99999,-99999,-99999
268,38.039168,-121.894469,-99999,-99999,-99999,-99999
269,39.722892,-121.469814,-99999,-99999,-99999,-99999
270,39.361786,-123.127934,-99999,-99999,-99999,-99999
271,39.90521,-121.345226,-99999,-99999,-99999,-99999
272,37.203233,-119.497508,-99999,-99999,-99999,-99999
274,37.253718,-119.519352,-99999,-99999,-99999,-99999
275,38.497914,-120.21811,-99999,-99999,-99999,-99999
276,40.395396,-121.879186,-99999,-99999,-99999,-99999
277,39.324613,-120.644807,-99999,-99999,-99999,-99999
279,39.324592,-120.645375,-99999,-99999,-99999,-99999
280,39.337679,-120.635467,-99999,-99999,-99999,-99999
281,38.18653,-120.11168,-99999,-99999,-99999,-99999
282,38.139048,-120.370325,-99999,-99999,-99999,-99999
283,38.777,-122.745,704.0,-99999,-99999,-99999
284,38.449291,-120.492645,-99999,-99999,-99999,-99999
285,36.163076,-118.707104,-99999,-99999,-99999,-99999
286,40.459111,-121.86708,-99999,-99999,-99999,-99999
287,38.420898,-120.549572,-99999,-99999,-99999,-99999
289,38.889862,-121.098525,-99999,-99999,-99999,-99999
290,37.15105,-119.504724,-99999,-99999,-99999,-99999
291,41.978914,-122.335317,-99999,-99999,-99999,-99999
292,41.975716,-122.358127,-99999,-99999,-99999,-99999
293,41.985605,-122.360455,-99999,-99999,-99999,-99999
294,41.932981,-122.43678,-99999,-99999,-99999,-99999
295,31.4219,-96.2525,-99999,-99999,-99999,-99999
296,38.4889,-112.8533,34.0,-99999,-99999,-99999
297,32.7958,-116.9722,-99999,-99999,-99999,-99999
